Chain  Z     rmsd lali nres  %id Description
3e0n-B 17.0  3.1  175   254   17 PROSTASIN
1amh-A 17.0  2.6  166   223   20 ANIONIC TRYPSIN
5jb8-S 17.0  2.8  173   236   17 COAGULATION FACTOR IX
5ms3-A 17.0  2.9  173   228   17 KALLIKREIN-8
1bqy-A 16.9  2.9  175   235   16 PLASMINOGEN ACTIVATOR
1fy1-A 16.9  2.7  169   225   17 HEPARIN-BINDING PROTEIN
1yc0-A 16.9  2.5  168   247   16 HEPATOCYTE GROWTH FACTOR ACTIVATOR
1op0-A 16.9  2.7  169   234   18 VENOM SERINE PROTEINASE
1pfx-C 16.9  2.8  173   236   14 FACTOR IXA
2aip-A 16.9  2.6  170   231   14 PROTEIN C ACTIVATOR
1cgi-E 16.9  2.8  176   245   15 ALPHA-CHYMOTRYPSINOGEN
1bit-A 16.9  2.9  172   222   18 TRYPSIN
1hpg-A 16.8  2.6  158   187   16 GLUTAMIC ACID SPECIFIC PROTEASE
4niy-D 16.8  2.5  160   195   18 CATIONIC TRYPSIN
2qaa-A 16.8  2.7  159   186   17 STREPTOGRISIN-B
1qtf-A 16.7  2.9  165   246   19 EXFOLIATIVE TOXIN B
1c5m-D 16.6  2.9  176   241   16 PROTEIN (COAGULATION FACTOR X)
1shy-A 16.6  2.7  167   228   13 HEPATOCYTE GROWTH FACTOR
1kig-H 16.6  2.9  176   241   15 FACTOR XA
1qa7-B 16.6  2.9  182   218   10 HAV 3C PROTEINASE
2zgc-A 16.6  2.8  173   231   17 GRANZYME M
6i44-A 16.5  3.2  185   596   14 PLASMA KALLIKREIN
5gvt-A 16.5  3.1  178   236   16 PLASMA KALLIKREIN
4wjg-2 16.5  3.1  177   310   13 HEMOGLOBIN SUBUNIT ALPHA
5o32-I 16.4  2.9  175   241   16 COMPLEMENT C3
1gpz-A 16.3  2.5  168   368   17 COMPLEMENT C1R COMPONENT
1mza-A 16.3  2.6  168   240   19 PRO-GRANZYME K
2sfa-A 16.3  2.8  158   191   18 SERINE PROTEINASE
1sgc-A 16.3  2.6  153   181   19 PROTEINASE A
1zjk-A 16.2  2.9  177   389   18 MANNAN-BINDING LECTIN SERINE PROTEASE 2
4bxw-B 16.2  2.7  174   288   17 FACTOR XA
1gvl-A 16.2  3.1  175   223   13 KALLIKREIN 6
1cvw-H 16.1  2.8  174   255   14 COAGULATION FACTOR VIIA (LIGHT CHAIN) (DES-GLA)
1pyt-C 16.0  2.8  174   248   16 PROCARBOXYPEPTIDASE A
5mrt-A 16.0  2.6  159   195   13 LYTIC ENDOPEPTIDASE PREPROENZYME
5mrr-A 15.9  2.7  159   199   16 LYTIC ENDOPEPTIDASE PREPROENZYME
1pyt-D 15.9  3.0  178   251   19 PROCARBOXYPEPTIDASE A
5lpe-A 15.9  2.9  169   204   17 KALLIKREIN-10
3wom-A 15.9  3.1  183   699   19 DIPEPTIDYL AMINOPEPTIDASE BII
1gvz-A 15.9  2.7  169   237   16 KALLIKREIN-1E2
1zyo-A 15.8  3.0  159   184   15 SERINE PROTEASE
4qt8-C 15.8  3.0  172   231   14 MACROPHAGE-STIMULATING PROTEIN RECEPTOR
2ea3-A 15.8  2.6  152   183   17 CHYMOTRYPSIN
5i25-A 15.8  4.2  185   596   14 COAGULATION FACTOR XI
2olg-A 15.8  2.8  176   276   18 PRO-PHENOLOXIDASE ACTIVATING ENZYME-I
3ruo-A 15.8  3.0  172   184   13 HEVB EV93 3C PROTEASE
1p01-A 15.7  2.8  159   199   15 ALPHA-LYTIC PROTEASE
4kkd-B 15.7  3.2  182   405   18 MANNAN-BINDING LECTIN SERINE PROTEASE 1
2ijd-1 15.7  3.0  171   644   15 PICORNAIN 3C, RNA-DIRECTED RNA POLYMERASE
4f4o-C 15.7  3.1  179   309   13 HEMOGLOBIN SUBUNIT ALPHA
2xya-A 15.7  2.7  168   182   14 PICORNAIN 3C
4a5t-S 15.6  3.4  181   767   15 PLASMINOGEN
1fdp-B 15.6  2.7  161   198   17 PROENZYME OF COMPLEMENT FACTOR D
3h5c-B 15.6  2.9  173   312   11 PROTEIN Z-DEPENDENT PROTEASE INHIBITOR
2xrc-B 15.5  5.7  171   485   15 HUMAN COMPLEMENT FACTOR I
1mkw-K 15.5  2.8  177   287   18 ALPHA-THROMBIN
1sgf-A 15.5  2.7  159   203   15 NERVE GROWTH FACTOR
4j1y-A 15.5  3.1  173   378   14 COMPLEMENT C1S SUBCOMPONENT
3k65-B 15.4  2.7  170   274   18 PROTHROMBIN
2pfe-A 15.4  2.6  151   186   17 ALKALINE SERINE PROTEASE
2xxl-A 15.4  3.0  178   354   15 GRAM-POSITIVE SPECIFIC SERINE PROTEASE, ISOFORM B          
 171:  3t2n-A 15.3  5.9  167   336 PDB  SERINE PROTEASE HEPSIN
2in2-A 15.3  3.0  171   182   15 PICORNAIN 3C
3zv8-A 15.3  3.0  171   188   16 3C PROTEASE
2xrc-A 15.3  6.3  164   461   16 HUMAN COMPLEMENT FACTOR I
2oua-A 15.2  2.9  154   188   14 SERINE PROTEASE
4dw2-U 15.1  2.6  163   221   17 UROKINASE-TYPE PLASMINOGEN ACTIVATOR
2xwb-F 15.1  3.5  181   714   19 COMPLEMENT C3B BETA CHAIN
2i6q-A 15.0  3.0  184   503   15 COMPLEMENT C2A FRAGMENT
4igd-A 15.0  3.3  177   397   17 MANNAN-BINDING LECTIN SERINE PROTEASE 1
4duu-A 14.9  3.4  178   682   15 PLASMINOGEN
5jwg-A 14.9  3.0  185   705   19 ASP/GLU-SPECIFIC DIPEPTIDYL-PEPTIDASE
3osy-A 14.9  3.5  167   187   12 3C PROTEASE
6bqm-A 14.6  3.0  173   460   13 SERINE PROTEASE VESC
5lyo-C 14.6  2.7  170   255   14 SUPPRESSOR OF TUMORIGENICITY 14 PROTEIN
1lvm-A 14.5  4.8  176   229   15 CATALYTIC DOMAIN OF THE NUCLEAR INCLUSION                  
3ak5-A 14.5  3.6  166   970   15 HEMOGLOBIN-BINDING PROTEASE HBP
3mmg-A 14.4  3.6  171   217   19 NUCLEAR INCLUSION PROTEIN A
5edm-A 14.2  3.2  179   550   17 PROTHROMBIN
2xrc-D 14.2  5.6  167   464   16 HUMAN COMPLEMENT FACTOR I
6ff0-A 14.1  4.9  152   195   16 SERINE PROTEASE DOMAIN FUSED WITH VPG DOMAIN
4bxs-A 14.0  3.1  162   248   15 FACTOR X-LIKE PROTEASE
1rgq-B 14.0  2.6  139   186   14 NS3 PROTEASE
5jyk-B 13.9  3.1  134   412   31 PROTEASE DO-LIKE 9
5y4l-B 13.4  2.6  135   203   20 NON-STRUCTURAL PROTEIN
2xrc-C 13.0  5.5  159   454   16 HUMAN COMPLEMENT FACTOR I
1mbm-A 12.9  2.8  138   198   16 CHYMOTRYPSIN-LIKE SERINE PROTEASE
5wdx-A 12.8  2.6  141   642   17 JFH-1 NS3
2b9l-A 12.6  4.2  175   372   13 PROPHENOLOXIDASE ACTIVATING FACTOR
2q6d-B 12.5  3.5  156   307   11 INFECTIOUS BRONCHITIS VIRUS (IBV) MAIN PROTEASE
3h09-B 12.5  3.6  169   964   14 IMMUNOGLOBULIN A1 PROTEASE
3syj-A 12.3  3.3  160   920   19 ADHESION AND PENETRATION PROTEIN AUTOTRANSPORTER
1lvo-D 12.1  3.3  152   301   13 REPLICASE, HYDROLASE DOMAIN
2lnc-A 12.1  3.2  155   188   14 3C-LIKE PROTEASE
2hrv-A 12.1  3.1  130   139   16 2A CYSTEINE PROTEINASE
2yy4-A 11.9  3.2  155   310   12 REPLICASE POLYPROTEIN 1AB
5x45-B 11.5  3.5  129   137   11 PROTEASE 2A
1wxr-A 11.5  2.8  164  1035   15 HAEMOGLOBIN PROTEASE
5yvu-B 11.2  3.4  137   601   18 GENOME POLYPROTEIN
3u1i-B 11.2  3.4  143   168   17 SERINE PROTEASE SUBUNIT NS2B
1ezx-C 10.5  2.8  120   140   18 ALPHA-1-ANTITRYPSIN
5y09-B 10.2  2.9   98   369   31 PROTEASE DO-LIKE 9
6mx7-C 10.1  3.7  146   180   14 CAPSID
5lak-A 10.0  3.9  149   303   18 3CL PROTEASE
1svp-A 10.0  2.9  130   160   11 SINDBIS VIRUS CAPSID PROTEIN
4r8t-B  9.9  3.1  128   141   13 SERINE PROTEASE SUBUNIT NS2B
6bjr-A  9.4  3.6  178   575   15 PROTHROMBIN
2kai-B  9.2  2.9  112   152   17 KALLIKREIN A
1z8r-A  8.9  3.8  122   150   13 COXSACKIEVIRUS B4 POLYPROTEIN
1cu1-A  8.8  2.9  144   645   15 PROTEIN (PROTEASE/HELICASE NS3)
2m9p-A  7.4  3.5  144   240   15 SERINE PROTEASE SUBUNIT NS2B, SERINE PROTEASE NS3          
1kdq-A  6.1  3.0   98   130   19 CHYMOTRYPSIN B, B CHAIN
2qf4-A  4.9  4.3   82   170   11 CELL SHAPE DETERMINING PROTEIN MREC
