Results: 20191114_JHL_1qtf
Query: s001A
Select neighbours (check boxes) for viewing as multiple structural alignment or 3D superimposition. The list of neighbours is sorted by Z-score. Similarities with a Z-score lower than 2 are spurious. Each neighbour has links to pairwise structural alignment with the query structure, and to the PDB format coordinate file where the neighbour is superimposed onto the query structure.

  Expand gaps    
Summary
    No:  Chain   Z    rmsd lali nres  %id PDB  Description
  64:  4a5t-S 18.3  3.3  198   767   15 PDB  MOLECULE: PLASMINOGEN;                                               
  65:  5to3-B 18.3  2.8  190   368   16 PDB  MOLECULE: PROTHROMBIN;                                               
  66:  5jd8-A 18.3  3.0  166   272   25 PDB  MOLECULE: PERIPLASMIC SERINE PEPTIDASE DEGS;                         
  67:  1z8g-A 18.3  2.7  189   366   15 PDB  MOLECULE: SERINE PROTEASE HEPSIN;                                    
  68:  1ao5-A 18.2  2.7  184   236   16 PDB  MOLECULE: GLANDULAR KALLIKREIN-13;                                   
  69:  1cvw-H 18.2  2.7  189   255   15 PDB  MOLECULE: COAGULATION FACTOR VIIA (LIGHT CHAIN) (DES-GLA);           
  70:  4cre-A 18.2  2.8  185   238   17 PDB  MOLECULE: COAGULATION FACTOR XI;                                     
  71:  1amh-A 18.2  2.6  180   223   16 PDB  MOLECULE: ANIONIC TRYPSIN;                                           
  72:  1fxy-A 18.1  2.6  179   229   16 PDB  MOLECULE: COAGULATION FACTOR XA-TRYPSIN CHIMERA;                     
  73:  5ilb-A 18.1  2.7  168   465   19 PDB  MOLECULE: PROTEASE DO-LIKE 2, CHLOROPLASTIC,PROTEASE DO-LIK          
  74:  1zjk-A 18.0  2.6  188   389   16 PDB  MOLECULE: MANNAN-BINDING LECTIN SERINE PROTEASE 2;                   
  75:  1fiz-A 18.0  2.6  186   263   16 PDB  MOLECULE: BETA-ACROSIN HEAVY CHAIN;                                  
  76:  2qy0-D 18.0  2.5  181   237   15 PDB  MOLECULE: COMPLEMENT C1R SUBCOMPONENT;                               
  77:  1c5m-D 17.9  2.7  184   241   14 PDB  MOLECULE: PROTEIN (COAGULATION FACTOR X);                            
  78:  1bqy-A 17.8  2.7  183   235   18 PDB  MOLECULE: PLASMINOGEN ACTIVATOR;                                     
  79:  1kig-H 17.8  2.8  184   241   14 PDB  MOLECULE: FACTOR XA;                                                 
  80:  5il9-A 17.8  2.7  167   465   19 PDB  MOLECULE: PROTEASE DO-LIKE 9;                                        
  81:  5gvt-A 17.7  2.7  183   236   16 PDB  MOLECULE: PLASMA KALLIKREIN;                                         
  82:  3otp-A 17.6  3.2  171   381   22 PDB  MOLECULE: PROTEASE DO;                                               
  83:  3stj-A 17.6  3.1  165   300   23 PDB  MOLECULE: PROTEASE DEGQ;                                             
  84:  4fln-B 17.5  2.9  166   464   19 PDB  MOLECULE: PROTEASE DO-LIKE 2, CHLOROPLASTIC;                         
  85:  1op0-A 17.5  2.6  181   234   16 PDB  MOLECULE: VENOM SERINE PROTEINASE;                                   
  86:  4igd-A 17.5  2.5  185   397   14 PDB  MOLECULE: MANNAN-BINDING LECTIN SERINE PROTEASE 1;                   
  87:  4bxw-B 17.5  2.8  182   288   14 PDB  MOLECULE: FACTOR XA;                                                 
  88:  4duu-A 17.3  3.3  195   682   14 PDB  MOLECULE: PLASMINOGEN;                                               
  89:  1pyt-D 17.2  2.8  187   251   15 PDB  MOLECULE: PROCARBOXYPEPTIDASE A;                                     
  90:  1gvz-A 17.2  2.6  180   237   12 PDB  MOLECULE: KALLIKREIN-1E2;                                            
  91:  5lyo-C 17.2  2.4  181   255   13 PDB  MOLECULE: SUPPRESSOR OF TUMORIGENICITY 14 PROTEIN;                   
  92:  3k6y-A 17.2  3.0  172   227   18 PDB  MOLECULE: POSSIBLE MEMBRANE-ASSOCIATED SERINE PROTEASE;              
  93:  1gpz-A 17.1  2.9  180   368   15 PDB  MOLECULE: COMPLEMENT C1R COMPONENT;                                  
  94:  3nwu-B 17.1  2.9  163   183   20 PDB  MOLECULE: SERINE PROTEASE HTRA1;                                     
  95:  1pyt-C 17.1  2.6  183   248   13 PDB  MOLECULE: PROCARBOXYPEPTIDASE A;                                     
  96:  3pv3-A 17.0  3.3  168   392   24 PDB  MOLECULE: DEGQ;                                                      
  97:  4f4o-C 17.0  2.4  181   309   14 PDB  MOLECULE: HEMOGLOBIN SUBUNIT ALPHA;                                  
  98:  3nzi-A 17.0  2.9  165   211   19 PDB  MOLECULE: SERINE PROTEASE HTRA1;                                     
  99:  2z9i-A 16.9  2.6  163   284   18 PDB  MOLECULE: PROBABLE SERINE PROTEASE PEPD;                             
 100:  4ynn-A 16.9  3.2  164   400   24 PDB  MOLECULE: PROTEASE DO;                                               
 101:  5lpe-A 16.9  2.5  171   204   15 PDB  MOLECULE: KALLIKREIN-10;                                             
 102:  3lgu-A 16.7  3.0  164   191   26 PDB  MOLECULE: PROTEASE DEGS;                                             
 103:  5jwf-A 16.7  2.9  197   700   17 PDB  MOLECULE: ASP/GLU-SPECIFIC DIPEPTIDYL-PEPTIDASE;                     
 104:  1soz-C 16.6  3.1  169   257   25 PDB  MOLECULE: PROTEASE DEGS;                                             
 105:  1arc-A 16.5  3.2  189   264   15 PDB  MOLECULE: ACHROMOBACTER PROTEASE I;                                  
 106:  5i25-A 16.5  3.2  183   596   17 PDB  MOLECULE: COAGULATION FACTOR XI;                                     
 107:  4ri0-A 16.4  2.9  164   306   21 PDB  MOLECULE: SERINE PROTEASE HTRA3;                                     
 108:  4nsy-B 16.4  3.2  187   266   15 PDB  MOLECULE: LYSYL ENDOPEPTIDASE;                                       
 109:  3qo6-B 16.4  3.0  169   328   22 PDB  MOLECULE: PROTEASE DO-LIKE 1, CHLOROPLASTIC;                         
 110:  5hma-A 16.3  2.6  164   191   19 PDB  MOLECULE: TRYPSIN-LIKE SERINE PROTEASE;                              
 111:  1mkw-K 16.2  2.6  184   287   17 PDB  MOLECULE: ALPHA-THROMBIN;                                            
 112:  5jxf-A 16.2  2.9  197   696   18 PDB  MOLECULE: ASP/GLU-SPECIFIC DIPEPTIDYL-PEPTIDASE;                     
 113:  2xxl-A 16.2  2.9  187   354   14 PDB  MOLECULE: GRAM-POSITIVE SPECIFIC SERINE PROTEASE, ISOFORM B          
 114:  6i44-A 16.2  2.9  185   596   15 PDB  MOLECULE: PLASMA KALLIKREIN;                                         
 115:  5y28-C 16.1  3.1  167   277   24 PDB  MOLECULE: PERIPLASMIC SERINE ENDOPROTEASE DEGP-LIKE;                 
 116:  3k65-B 16.1  3.2  184   274   17 PDB  MOLECULE: PROTHROMBIN;                                               
 117:  2olg-A 16.1  2.9  184   276   15 PDB  MOLECULE: PRO-PHENOLOXIDASE ACTIVATING ENZYME-I;                     
 118:  3h5c-B 16.0  2.8  177   312   14 PDB  MOLECULE: PROTEIN Z-DEPENDENT PROTEASE INHIBITOR;                    
 119:  3t2n-A 16.0  2.7  176   339   14 PDB  MOLECULE: SERINE PROTEASE HEPSIN;                                    
 120:  4ic5-A 15.9  3.0  169   210   19 PDB  MOLECULE: PROTEASE DO-LIKE 5, CHLOROPLASTIC;                         
 121:  5t69-A 15.9  3.0  160   284   20 PDB  MOLECULE: PUTATIVE SERINE PROTEASE HHOA;                             
 122:  5jxp-A 15.9  2.9  196   662   18 PDB  MOLECULE: ASP/GLU-SPECIFIC DIPEPTIDYL-PEPTIDASE;                     
 123:  1te0-A 15.8  3.2  164   318   25 PDB  MOLECULE: PROTEASE DEGS;                                             
 124:  1ky9-B 15.6  3.1  163   396   22 PDB  MOLECULE: PROTEASE DO;                                               
 125:  1gvl-A 15.5  2.9  172   223   15 PDB  MOLECULE: KALLIKREIN 6;                                              
 126:  3sti-A 15.4  2.9  153   184   24 PDB  MOLECULE: PROTEASE DEGQ;                                             
 127:  3wom-A 15.4  2.7  198   699   18 PDB  MOLECULE: DIPEPTIDYL AMINOPEPTIDASE BII;                             
 128:  5edm-A 15.3  3.5  193   550   15 PDB  MOLECULE: PROTHROMBIN;                                               
 129:  5zvj-A 15.3  3.1  165   299   21 PDB  MOLECULE: SERINE PROTEASE;                                           
 130:  4ic6-A 15.0  3.2  173   340   20 PDB  MOLECULE: PROTEASE DO-LIKE 8, CHLOROPLASTIC;                         
 131:  3gdv-A 15.0  3.4  169   296   24 PDB  MOLECULE: DEGS PROTEASE;                                             
 132:  1l1j-A 14.8  2.8  162   226   26 PDB  MOLECULE: HEAT SHOCK PROTEASE HTRA;                                  
 133:  4bxs-A 14.1  2.4  157   248   15 PDB  MOLECULE: FACTOR X-LIKE PROTEASE;                                    
 134:  2b9l-A 13.8  3.6  193   372   14 PDB  MOLECULE: PROPHENOLOXIDASE ACTIVATING FACTOR;                        
 135:  5jwg-A 13.7  2.9  198   705   18 PDB  MOLECULE: ASP/GLU-SPECIFIC DIPEPTIDYL-PEPTIDASE;                     
 136:  5fht-A 13.5  3.0  163   300   17 PDB  MOLECULE: SERINE PROTEASE HTRA2, MITOCHONDRIAL;                      
 137:  2ijd-1 13.1  2.6  151   644   17 PDB  MOLECULE: PICORNAIN 3C, RNA-DIRECTED RNA POLYMERASE;                 
 138:  3osy-A 13.1  3.2  152   187   15 PDB  MOLECULE: 3C PROTEASE;                                               
 139:  2xya-A 12.9  3.3  154   182   16 PDB  MOLECULE: PICORNAIN 3C;                                              
 140:  3zv8-A 12.8  2.6  152   188   14 PDB  MOLECULE: 3C PROTEASE;                                               
 141:  3ak5-A 12.7  3.0  168   970   14 PDB  MOLECULE: HEMOGLOBIN-BINDING PROTEASE HBP;                           
 142:  2q6d-B 12.7  3.1  151   307   14 PDB  MOLECULE: INFECTIOUS BRONCHITIS VIRUS (IBV) MAIN PROTEASE;           
 143:  1lvo-D 12.6  3.0  150   301   13 PDB  MOLECULE: REPLICASE, HYDROLASE DOMAIN;                               
 144:  3mmg-A 12.6  2.8  157   217   18 PDB  MOLECULE: NUCLEAR INCLUSION PROTEIN A;                               
 145:  5gwy-B 12.6  3.2  151   304   17 PDB  MOLECULE: MAIN PROTEASE;                                             
 146:  3ruo-A 12.6  2.7  152   184   16 PDB  MOLECULE: HEVB EV93 3C PROTEASE;                                     
 147:  4wme-A 12.6  3.4  157   306   15 PDB  MOLECULE: MERS-COV 3CL PROTEASE;                                     
 148:  1lvm-A 12.4  2.9  159   229   17 PDB  MOLECULE: CATALYTIC DOMAIN OF THE NUCLEAR INCLUSION                  
 149:  6jij-C 12.4  3.3  151   298   11 PDB  MOLECULE: REPLICATIVE POLYPROTEIN 1AB;                               
 150:  2yy4-A 12.3  3.0  150   310   17 PDB  MOLECULE: REPLICASE POLYPROTEIN 1AB;                                 
 151:  1hpg-A 12.3  2.6  144   187   15 PDB  MOLECULE: GLUTAMIC ACID SPECIFIC PROTEASE;                           
 152:  2zu2-B 12.3  3.3  153   301   18 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
 153:  5hyo-A 12.1  3.3  151   301   15 PDB  MOLECULE: PEDV 3CLPRO;                                               
 154:  3d23-B 12.1  3.4  153   301   12 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
 155:  4om9-A 12.0  3.1  164   930   19 PDB  MOLECULE: SERINE PROTEASE PET;                                       
 156:  2yna-A 11.9  3.2  155   306   15 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
 157:  6b6i-H 11.8  3.2  140   181   13 PDB  MOLECULE: 3C-LIKE PROTEASE;                                          
 158:  4x2v-B 11.8  3.4  141   185   16 PDB  MOLECULE: NS6 PROTEASE;                                              
 159:  2in2-A 11.7  2.8  149   182   14 PDB  MOLECULE: PICORNAIN 3C;                                              
 160:  5j44-A 11.6  2.9  172  1006   19 PDB  MOLECULE: SERINE PROTEASE SEPA AUTOTRANSPORTER;                      
 161:  3syj-A 11.2  3.0  164   920   12 PDB  MOLECULE: ADHESION AND PENETRATION PROTEIN AUTOTRANSPORTER;          
 162:  1rgq-B 11.1  3.0  135   186   13 PDB  MOLECULE: NS3 PROTEASE;                                              
 163:  3h09-B 11.1  3.3  170   964   15 PDB  MOLECULE: IMMUNOGLOBULIN A1 PROTEASE;                                
 164:  6bjr-A 10.9  3.2  185   575   15 PDB  MOLECULE: PROTHROMBIN;                                               
 165:  2wv9-A 10.6  2.8  136   600   15 PDB  MOLECULE: FLAVIVIRIN PROTEASE NS2B REGULATORY SUBUNIT, FLAV          
 166:  1wxr-A 10.6  2.9  167  1035   14 PDB  MOLECULE: HAEMOGLOBIN PROTEASE;                                      
 167:  4uon-A 10.2  3.2  135   154   13 PDB  MOLECULE: CAPSID PROTEASE;                                           
 168:  3sze-A 10.2  2.9  162   943   14 PDB  MOLECULE: SERINE PROTEASE ESPP;                                      
 169:  5jyk-B 10.2  2.9  121   412   21 PDB  MOLECULE: PROTEASE DO-LIKE 9;                                        
 170:  4m9m-A 10.1  3.0  141   202   18 PDB  MOLECULE: NS2B-NS3 PROTEASE;                                         
 171:  2lnc-A 10.0  3.7  147   188   11 PDB  MOLECULE: 3C-LIKE PROTEASE;                                          
 172:  5yvu-B 10.0  3.1  134   601   15 PDB  MOLECULE: GENOME POLYPROTEIN;                                        
 173:  6bqj-C 10.0  3.3  135   207   15 PDB  MOLECULE: NS3 PROTEASE;                                              
 174:  5wdx-A  9.9  3.1  137   642   15 PDB  MOLECULE: JFH-1 NS3;                                                 
 175:  3u1i-B  9.7  2.6  124   168   18 PDB  MOLECULE: SERINE PROTEASE SUBUNIT NS2B;                              
 176:  3lkw-A  9.5  3.0  137   211   14 PDB  MOLECULE: FUSION PROTEIN OF NONSTRUCTURAL PROTEIN 2B AND             
 177:  1kdq-A  9.5  2.6  115   130   13 PDB  MOLECULE: CHYMOTRYPSIN B, B CHAIN;                                   
 178:  5lak-A  9.2  3.9  151   303   15 PDB  MOLECULE: 3CL PROTEASE;                                              
 179:  5lkl-A  7.6  3.3  126   704   13 PDB  MOLECULE: GENOME POLYPROTEIN;                                        
 180:  5lkl-B  7.5  4.1  130   679   12 PDB  MOLECULE: GENOME POLYPROTEIN;                                        
 181:  1cu1-A  7.4  3.1  138   645   15 PDB  MOLECULE: PROTEIN (PROTEASE/HELICASE NS3);                           
 182:  2kai-B  7.1  2.6  112   152   14 PDB  MOLECULE: KALLIKREIN A;                                              
 183:  5y09-B  4.8  2.7   85   369   18 PDB  MOLECULE: PROTEASE DO-LIKE 9;                                        


Results: 20191114_JHL_6u1b
Query: s001A
Select neighbours (check boxes) for viewing as multiple structural alignment or 3D superimposition. The list of neighbours is sorted by Z-score. Similarities with a Z-score lower than 2 are spurious. Each neighbour has links to pairwise structural alignment with the query structure, and to the PDB format coordinate file where the neighbour is superimposed onto the query structure.

  Expand gaps    
Summary
    No:  Chain   Z    rmsd lali nres  %id PDB  Description
   1:  6u1b-A 46.8  0.1  221   221  100 PDB  MOLECULE: GLUTAMYL ENDOPEPTIDASE;                                    
   2:  1qy6-A 39.7  0.7  216   216   59 PDB  MOLECULE: SERINE PROTEASE;                                           
   3:  5c2z-A 29.3  1.9  204   248   27 PDB  MOLECULE: EXFOLIATIVE TOXIN D2;                                      
   4:  1agj-A 29.3  1.6  205   242   28 PDB  MOLECULE: EPIDERMOLYTIC TOXIN A;                                     
   5:  4ink-A 29.2  1.8  193   203   29 PDB  MOLECULE: SERINE PROTEASE SPLD;                                      
   6:  6e0u-A 28.9  1.8  204   241   28 PDB  MOLECULE: SERINE PROTEASE;                                           
   7:  2w7u-B 28.7  2.0  194   200   32 PDB  MOLECULE: SERINE PROTEASE SPLA;                                      
   8:  1p3c-A 28.6  1.8  197   215   26 PDB  MOLECULE: GLUTAMYL-ENDOPEPTIDASE;                                    
   9:  2as9-A 28.4  1.7  193   207   28 PDB  MOLECULE: SERINE PROTEASE;                                           
  10:  1qtf-A 28.0  1.9  202   246   29 PDB  MOLECULE: EXFOLIATIVE TOXIN B;                                       
  11:  5mm8-A 27.6  1.7  190   197   33 PDB  MOLECULE: SERINE PROTEASE SPLE;                                      
  12:  4k1t-C 27.2  2.0  190   203   32 PDB  MOLECULE: SERINE PROTEASE SPLB;                                      
  13:  1euf-A 23.3  2.0  188   224   17 PDB  MOLECULE: DUODENASE;                                                 
  14:  3wy8-A 23.2  2.7  192   219   18 PDB  MOLECULE: SERINE PROTEASE;                                           
  15:  1azz-A 23.2  2.0  190   226   15 PDB  MOLECULE: COLLAGENASE;                                               
  16:  3rp2-A 23.2  1.9  188   224   14 PDB  MOLECULE: RAT MAST CELL PROTEASE II;                                 
  17:  1pq5-A 23.1  2.0  187   225   18 PDB  MOLECULE: TRYPSIN;                                                   
  18:  1ekb-B 23.1  2.0  191   235   12 PDB  MOLECULE: ENTEROPEPTIDASE;                                           
  19:  1fuj-A 23.0  2.2  189   221   13 PDB  MOLECULE: PR3;                                                       
  20:  1b0f-A 23.0  2.1  189   218   15 PDB  MOLECULE: PROTEIN (ELASTASE);                                        
  21:  1m9u-A 22.9  2.1  192   241   15 PDB  MOLECULE: EARTHWORM FIBRINOLYTIC ENZYME;                             
  22:  3cp7-A 22.8  2.5  188   216   17 PDB  MOLECULE: ALKALINE SERINE PROTEASE AL20;                             
  23:  1fi8-B 22.7  2.2  189   227   19 PDB  MOLECULE: NATURAL KILLER CELL PROTEASE 1;                            
  24:  1eq9-A 22.5  2.1  188   222   17 PDB  MOLECULE: CHYMOTRYPSIN;                                              
  25:  1bru-P 22.5  2.2  192   241   16 PDB  MOLECULE: ELASTASE;                                                  
  26:  1hyl-A 22.4  2.4  193   230   19 PDB  MOLECULE: HYPODERMA LINEATUM COLLAGENASE;                            
  27:  1op8-A 22.4  2.0  188   234   15 PDB  MOLECULE: GRANZYME A;                                                
  28:  1fiw-A 22.3  2.4  197   260   15 PDB  MOLECULE: BETA-ACROSIN HEAVY CHAIN;                                  
  29:  1yc0-A 22.2  2.2  194   247   16 PDB  MOLECULE: HEPATOCYTE GROWTH FACTOR ACTIVATOR;                        
  30:  1fq3-A 22.2  2.2  188   227   17 PDB  MOLECULE: GRANZYME B;                                                
  31:  1npm-A 22.2  2.1  185   223   17 PDB  MOLECULE: NEUROPSIN;                                                 
  32:  1shy-A 22.0  2.2  190   228   12 PDB  MOLECULE: HEPATOCYTE GROWTH FACTOR;                                  
  33:  1fiz-A 21.9  2.4  197   263   16 PDB  MOLECULE: BETA-ACROSIN HEAVY CHAIN;                                  
  34:  1fy1-A 21.8  2.2  188   225    9 PDB  MOLECULE: HEPARIN-BINDING PROTEIN;                                   
  35:  1h4w-A 21.8  2.0  183   224   13 PDB  MOLECULE: TRYPSIN IVA;                                               
  36:  1bda-A 21.7  2.5  197   266   15 PDB  MOLECULE: SINGLE CHAIN TISSUE TYPE PLASMINOGEN ACTIVATOR;            
  37:  4lk4-A 21.7  2.2  186   326   16 PDB  MOLECULE: VESB PROTEASE;                                             
  38:  1cgi-E 21.6  2.2  188   245   14 PDB  MOLECULE: ALPHA-CHYMOTRYPSINOGEN;                                    
  39:  3stj-A 21.6  2.2  173   300   23 PDB  MOLECULE: PROTEASE DEGQ;                                             
  40:  5ilb-A 21.6  2.3  175   465   24 PDB  MOLECULE: PROTEASE DO-LIKE 2, CHLOROPLASTIC,PROTEASE DO-LIK          
  41:  1a5i-A 21.5  2.6  196   266   15 PDB  MOLECULE: PLASMINOGEN ACTIVATOR;                                     
  42:  1mza-A 21.5  2.2  188   240   18 PDB  MOLECULE: PRO-GRANZYME K;                                            
  43:  1pfx-C 21.5  2.2  189   236   16 PDB  MOLECULE: FACTOR IXA;                                                
  44:  3otp-A 21.4  2.2  172   381   22 PDB  MOLECULE: PROTEASE DO;                                               
  45:  1trn-A 21.4  2.1  183   224   16 PDB  MOLECULE: TRYPSIN;                                                   
  46:  1ao5-A 21.4  2.0  185   236   16 PDB  MOLECULE: GLANDULAR KALLIKREIN-13;                                   
  47:  1a0j-A 21.4  2.1  181   223   14 PDB  MOLECULE: TRYPSIN;                                                   
  48:  3nzi-A 21.3  2.2  173   211   22 PDB  MOLECULE: SERINE PROTEASE HTRA1;                                     
  49:  1sgf-G 21.3  2.1  184   232   19 PDB  MOLECULE: NERVE GROWTH FACTOR;                                       
  50:  3pv3-A 20.9  2.3  173   392   22 PDB  MOLECULE: DEGQ;                                                      
  51:  1fxy-A 20.8  2.2  182   229   19 PDB  MOLECULE: COAGULATION FACTOR XA-TRYPSIN CHIMERA;                     
  52:  1cvw-H 20.7  2.2  189   255   12 PDB  MOLECULE: COAGULATION FACTOR VIIA (LIGHT CHAIN) (DES-GLA);           
  53:  4ynn-A 20.7  2.3  173   400   21 PDB  MOLECULE: PROTEASE DO;                                               
